Course Name,,Difficulty Level,Course Rating,Course URL,,Skills,Description
Python Project for Data Science,,Intermediate,4.93,https://www.coursera.org/learn/python-project-for-data-science,,programming,Structured learning path combining theoretical knowledge and practical skills in Python Project.
Machine Learning with Python,,Beginner,4.24,https://www.coursera.org/learn/machine-learning-with-python,,"data_science, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Machine Learning.
IBM AI Engineering,,Beginner,4.07,https://www.coursera.org/professional-certificates/ai-engineer,,programming,"Cutting-edge course exploring the latest trends and techniques in Engineering, tailored for beginner learners."
用Python玩转数据 Data Processing Using Python,,Intermediate,3.65,https://www.coursera.org/learn/hipython,,programming,In-depth training program covering essential Python Data skills with a focus on real-world applications.
Automate Cybersecurity Tasks with Python,,Beginner,3.77,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,,programming,"Cutting-edge course exploring the latest trends and techniques in Automate Cybersecurity, tailored for beginner learners."
Introduction to Python for Cybersecurity,,Beginner,4,https://www.coursera.org/learn/pythonforcybersecurity-introduction,,programming,"Cutting-edge course exploring the latest trends and techniques in Introduction Python, tailored for beginner learners."
Python Programming Essentials,,Intermediate,3.66,https://www.coursera.org/learn/python-programming,,programming,"Comprehensive intermediate course designed to build Python Programming expertise through practical, hands-on learning."
IBM Full Stack Software Developer,,Beginner,4.31,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Full Stack.
Python Data Structures,,Beginner,4.57,https://www.coursera.org/learn/python-data,,programming,Structured learning path combining theoretical knowledge and practical skills in Python Data.
Google IT Support,,Beginner,4.7,https://www.coursera.org/professional-certificates/google-it-support,,programming,Structured learning path combining theoretical knowledge and practical skills in Google Support.
Google IT Automation with Python,,Beginner,3.77,https://www.coursera.org/professional-certificates/google-it-automation,,programming,"Cutting-edge course exploring the latest trends and techniques in Google Automation, tailored for beginner learners."
Programming in Python,,Advanced,3.86,https://www.coursera.org/learn/programming-in-python,,programming,"Comprehensive advanced course designed to build Programming Python expertise through practical, hands-on learning."
Data Processing Using Python,,Intermediate,4.84,https://www.coursera.org/learn/python-data-processing,,programming,"Comprehensive intermediate course designed to build Data Processing expertise through practical, hands-on learning."
Learn to Program: The Fundamentals,,Beginner,4.74,https://www.coursera.org/learn/learn-to-program,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Learn Program.
Developing AI Applications with Python and Flask,,Beginner,3.82,https://www.coursera.org/learn/python-project-for-ai-application-development,,"web_development, programming",In-depth training program covering essential Developing Applications skills with a focus on real-world applications.
AI Python for Beginners,,Beginner,4.18,https://www.coursera.org/learn/ai-python-for-beginners,,programming,Structured learning path combining theoretical knowledge and practical skills in Python Beginners.
Python Basics: Selection and Iteration,,Beginner,4.79,https://www.coursera.org/learn/codio-python-basics,,programming,"Cutting-edge course exploring the latest trends and techniques in Python Basics, tailored for beginner learners."
Introduction to Data Science in Python,,Beginner,3.73,https://www.coursera.org/learn/python-data-analysis,,programming,In-depth training program covering essential Introduction Data skills with a focus on real-world applications.
Applied Data Science with Python,,Intermediate,3.53,https://www.coursera.org/specializations/data-science-python,,programming,Structured learning path combining theoretical knowledge and practical skills in Applied Data.
Using Python to Access Web Data,,Beginner,3.71,https://www.coursera.org/learn/python-network-data,,programming,"Comprehensive beginner course designed to build Using Python expertise through practical, hands-on learning."
Google Advanced Data Analytics,,Intermediate,3.91,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,,General,Professional-level curriculum that takes you from intermediate to advanced proficiency in Google Advanced.
Meta Back-End Developer,,Beginner,4.6,https://www.coursera.org/professional-certificates/meta-back-end-developer,,programming,"Cutting-edge course exploring the latest trends and techniques in Meta Back, tailored for beginner learners."
Programming for Everybody (Getting Started with Python),,Beginner,3.52,https://www.coursera.org/learn/python,,programming,Structured learning path combining theoretical knowledge and practical skills in Programming Everybody.
Core Java,,Advanced,3.51,https://www.coursera.org/specializations/core-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Core Java.
IBM Java Developer,,Beginner,4.26,https://www.coursera.org/professional-certificates/java-developer,,programming,"Comprehensive beginner course designed to build Java Developer expertise through practical, hands-on learning."
Java FullStack Developer,,Advanced,4.21,https://www.coursera.org/specializations/java-fullstack,,programming,In-depth training program covering essential Java Full skills with a focus on real-world applications.
Java Programming and Software Engineering Fundamentals,,Beginner,4.97,https://www.coursera.org/specializations/java-programming,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Java Programming.
Object-Oriented Programming with Java,,Intermediate,4.68,https://www.coursera.org/learn/object-oriented-programming-with-java-up,,programming,Structured learning path combining theoretical knowledge and practical skills in Object Oriented.
Introduction to Java,,Beginner,4.81,https://www.coursera.org/learn/introduction-to-java,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Java.
Fundamentals of Java Programming,,Beginner,3.79,https://www.coursera.org/learn/fundamentals-of-java-programming,,programming,In-depth training program covering essential Fundamentals Java skills with a focus on real-world applications.
Introduction to Java,,Beginner,4.35,https://www.coursera.org/learn/java-introduction,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Java.
Building Scalable Java Microservices with Spring Boot and Spring Cloud,,Intermediate,3.9,https://www.coursera.org/learn/google-cloud-java-spring,,"programming, design",In-depth training program covering essential Building Scalable skills with a focus on real-world applications.
Core Java for Complete Beginners,,Intermediate,4.21,https://www.coursera.org/specializations/core-java-course,,programming,"Comprehensive intermediate course designed to build Core Java expertise through practical, hands-on learning."
Introducción a Java,,Beginner,4.77,https://www.coursera.org/learn/introduccion-java,,programming,"Comprehensive beginner course designed to build Introducci Java expertise through practical, hands-on learning."
Programming with Java,,Beginner,4.11,https://www.coursera.org/learn/programming-with-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Programming Java.
Object Oriented Programming in Java,,Intermediate,4.26,https://www.coursera.org/specializations/object-oriented-programming,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Object Oriented.
Object Oriented Java Programming: Data Structures and Beyond,,Beginner,4.91,https://www.coursera.org/specializations/java-object-oriented,,programming,"Comprehensive beginner course designed to build Object Oriented expertise through practical, hands-on learning."
Programming in Java: A Hands-on Introduction,,Beginner,4.63,https://www.coursera.org/specializations/hands-on-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Programming Java.
Advanced Java,,Beginner,4.15,https://www.coursera.org/learn/advanced-java-certification-course,,programming,In-depth training program covering essential Advanced Java skills with a focus on real-world applications.
Java Programming: Solving Problems with Software,,Intermediate,3.61,https://www.coursera.org/learn/java-programming,,programming,"Cutting-edge course exploring the latest trends and techniques in Java Programming, tailored for intermediate learners."
Introduction to Java Programming: Java Fundamental Concepts,,Beginner,3.67,https://www.coursera.org/projects/introduction-to-java-programming-java-fundamental-concepts,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Java.
Introduction to Software Development,,Beginner,4.28,https://www.coursera.org/learn/introduction-to-software-development,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Software.
Data Structures & Backend with Java,,Beginner,4.18,https://www.coursera.org/learn/data-structures--backend-with-java,,"web_development, programming",Structured learning path combining theoretical knowledge and practical skills in Data Structures.
Java for Android,,Intermediate,3.88,https://www.coursera.org/learn/java-for-android,,programming,"Comprehensive intermediate course designed to build Java Android expertise through practical, hands-on learning."
"Java Programming: Arrays, Lists, and Structured Data",,Beginner,4.79,https://www.coursera.org/learn/java-programming-arrays-lists-data,,programming,Structured learning path combining theoretical knowledge and practical skills in Java Programming.
Introduction to Programming with Python and Java,,Beginner,4.82,https://www.coursera.org/specializations/programming-python-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Programming.
Java程序设计,,Intermediate,4.26,https://www.coursera.org/learn/java-chengxu-sheji,,programming,"Comprehensive intermediate course designed to build Java expertise through practical, hands-on learning."
Introduction to Object-Oriented Programming with Java,,Beginner,3.58,https://www.coursera.org/learn/object-oriented-programming-with-java,,programming,In-depth training program covering essential Introduction Object skills with a focus on real-world applications.
Advanced Java,,Beginner,3.92,https://www.coursera.org/learn/advanced-java,,programming,In-depth training program covering essential Advanced Java skills with a focus on real-world applications.
Object Oriented Programming in Java,,Beginner,3.86,https://www.coursera.org/learn/object-oriented-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Object Oriented.
Java Enterprise Edition,,Beginner,4.33,https://www.coursera.org/specializations/java-ee,,programming,"Comprehensive beginner course designed to build Java Enterprise expertise through practical, hands-on learning."
"Parallel, Concurrent, and Distributed Programming in Java",,Beginner,4.8,https://www.coursera.org/specializations/pcdp,,programming,In-depth training program covering essential Parallel Concurrent skills with a focus on real-world applications.
Introduction to Java and Object-Oriented Programming,,Beginner,4.06,https://www.coursera.org/learn/java-object-oriented-programming,,programming,In-depth training program covering essential Introduction Java skills with a focus on real-world applications.
Oracle Java Foundations,,Beginner,3.99,https://www.coursera.org/learn/oracle-java-foundations,,programming,In-depth training program covering essential Oracle Java skills with a focus on real-world applications.
Programming with JavaScript,,Beginner,3.91,https://www.coursera.org/learn/programming-with-javascript,,programming,In-depth training program covering essential Programming Java skills with a focus on real-world applications.
Intermediate Object-Oriented Programming with Java,,Intermediate,4.39,https://www.coursera.org/projects/intermediate-oop-java,,programming,Structured learning path combining theoretical knowledge and practical skills in Intermediate Object.
Data Structures and Algorithms,,Beginner,4.92,https://www.coursera.org/learn/developer-data-structures-and-algorithms,,programming,In-depth training program covering essential Data Structures skills with a focus on real-world applications.
Spring Framework,,Beginner,4.38,https://www.coursera.org/specializations/spring-framework,,programming,"Cutting-edge course exploring the latest trends and techniques in Spring Framework, tailored for beginner learners."
IBM Full Stack Software Developer,,Intermediate,4.06,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"web_development, programming",In-depth training program covering essential Full Stack skills with a focus on real-world applications.
Introductory C Programming,,Beginner,4.42,https://www.coursera.org/specializations/c-programming,,programming,In-depth training program covering essential Introductory Programming skills with a focus on real-world applications.
C for Everyone: Programming Fundamentals,,Beginner,4.89,https://www.coursera.org/learn/c-for-everyone,,programming,Structured learning path combining theoretical knowledge and practical skills in Everyone Programming.
Coding for Everyone: C and C++,,Beginner,4.73,https://www.coursera.org/specializations/coding-for-everyone,,programming,"Comprehensive beginner course designed to build Coding Everyone expertise through practical, hands-on learning."
Embedded Software Development with C,,Intermediate,4.57,https://www.coursera.org/specializations/embedded-software-development-with-c,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Embedded Software.
C for Everyone: Structured Programming,,Beginner,3.99,https://www.coursera.org/learn/c-structured-programming,,programming,"Comprehensive beginner course designed to build Everyone Structured expertise through practical, hands-on learning."
Embedded Systems using C,,Intermediate,4.69,https://www.coursera.org/learn/embedded-systems-using-c,,General,Structured learning path combining theoretical knowledge and practical skills in Embedded Systems.
Programming with C,,Beginner,4.56,https://www.coursera.org/learn/programming-with-c,,programming,In-depth training program covering essential Programming skills with a focus on real-world applications.
"C, Go, and C++: A Comprehensive Introduction to Programming",,Beginner,3.53,https://www.coursera.org/specializations/c-go-c-plus-plus,,programming,"Comprehensive beginner course designed to build Go Comprehensive expertise through practical, hands-on learning."
"Programming Languages, Part C",,Beginner,4.96,https://www.coursera.org/learn/programming-languages-part-c,,programming,"Comprehensive beginner course designed to build Programming Languages expertise through practical, hands-on learning."
Embedded C Programming Essentials,,Intermediate,3.65,https://www.coursera.org/learn/embedded-c-programming-essentials,,programming,In-depth training program covering essential Embedded Programming skills with a focus on real-world applications.
C Programming with Linux,,Beginner,4.24,https://www.coursera.org/specializations/c-programming-linux,,"programming, design",Professional-level curriculum that takes you from beginner to advanced proficiency in Programming Linux.
The Arduino Platform and C Programming,,Intermediate,4.76,https://www.coursera.org/learn/arduino-platform,,"programming, design",In-depth training program covering essential The Arduino skills with a focus on real-world applications.
Corporate Strategy,,Intermediate,4.88,https://www.coursera.org/learn/corporatestrategy,,"business, programming",In-depth training program covering essential Corporate Strategy skills with a focus on real-world applications.
Exploring C,,Advanced,3.92,https://www.coursera.org/learn/exploring-c,,programming,"Cutting-edge course exploring the latest trends and techniques in Exploring, tailored for advanced learners."
Introduction to Programming With C#,,Beginner,4.9,https://www.coursera.org/learn/introduction-to-programming-with-c-sharp,,programming,"Cutting-edge course exploring the latest trends and techniques in Introduction Programming, tailored for beginner learners."
Programming in C,,Beginner,4.88,https://www.coursera.org/learn/programming-c,,programming,Structured learning path combining theoretical knowledge and practical skills in Programming.
"C++ For C Programmers, Part A",,Intermediate,4.58,https://www.coursera.org/learn/c-plus-plus-a,,programming,Structured learning path combining theoretical knowledge and practical skills in For Programmers.
C Programming: Getting Started - 1,,Beginner,4.1,https://www.coursera.org/learn/c-programming-getting-started,,programming,In-depth training program covering essential Programming Getting skills with a focus on real-world applications.
C Programming for Everybody,,Intermediate,3.86,https://www.coursera.org/specializations/c-programming-for-everybody,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Programming Everybody.
Introduction to C# Programming and Unity,,Beginner,4.99,https://www.coursera.org/learn/introduction-programming-unity,,programming,In-depth training program covering essential Introduction Programming skills with a focus on real-world applications.
C and Go: Classical and Modern Programming,,Intermediate,4.55,https://www.coursera.org/specializations/c-and-go,,programming,In-depth training program covering essential Go Classical skills with a focus on real-world applications.
C# for .NET Developers,,Beginner,3.82,https://www.coursera.org/learn/c-sharp-for-dot-net,,programming,"Cutting-edge course exploring the latest trends and techniques in Developers, tailored for beginner learners."
Programming Fundamentals,,Beginner,4.42,https://www.coursera.org/learn/programming-fundamentals,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Programming Fundamentals.
Data Structures in C,,Beginner,4.41,https://www.coursera.org/learn/data-structures-in-c,,programming,"Cutting-edge course exploring the latest trends and techniques in Data Structures, tailored for beginner learners."
"C++ For C Programmers, Part B",,Intermediate,4.57,https://www.coursera.org/learn/c-plus-plus-b,,programming,In-depth training program covering essential For Programmers skills with a focus on real-world applications.
"Programming Languages, Part A",,Beginner,3.65,https://www.coursera.org/learn/programming-languages,,programming,"Cutting-edge course exploring the latest trends and techniques in Programming Languages, tailored for beginner learners."
Programming with JavaScript,,Intermediate,4.52,https://www.coursera.org/learn/programming-with-javascript,,programming,Structured learning path combining theoretical knowledge and practical skills in Programming Java.
Introduction to Computer Vision and Image Processing,,Beginner,4.82,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,,"ai_and_ml, programming","Comprehensive beginner course designed to build Introduction Computer expertise through practical, hands-on learning."
Natural Language Processing with Attention Models,,Intermediate,4.18,https://www.coursera.org/learn/attention-models-in-nlp,,"ai_and_ml, programming","Comprehensive intermediate course designed to build Natural Language expertise through practical, hands-on learning."
Embedded Software and Hardware Architecture,,Intermediate,4.91,https://www.coursera.org/learn/embedded-software-hardware,,programming,Structured learning path combining theoretical knowledge and practical skills in Embedded Software.
Data Structures with C: Upgrade a Rocket Display Module,,Intermediate,4.31,https://www.coursera.org/projects/data-structures-c-embedded-rocket-module,,programming,Structured learning path combining theoretical knowledge and practical skills in Data Structures.
C++ Basics: Selection and Iteration,,Beginner,4.32,https://www.coursera.org/learn/codio-cpp-basics,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Basics Selection.
程序设计与算法,,Intermediate,3.98,https://www.coursera.org/specializations/biancheng-suanfa,,General,Structured learning path combining theoretical knowledge and practical skills in Technology.
"Algorithms, Part I",,Beginner,3.72,https://www.coursera.org/learn/algorithms-part1,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Algorithms Part.
Computational Thinking with Beginning C Programming,,Beginner,4.23,https://www.coursera.org/specializations/computational-thinking-c-programming,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Computational Thinking.
Pointers and Memory in C: Build a Rocket Display Module,,Beginner,4.19,https://www.coursera.org/projects/pointers-c-memory-rocket-display-module,,"programming, design",In-depth training program covering essential Pointers Memory skills with a focus on real-world applications.
Rust Programming,,Beginner,4.69,https://www.coursera.org/specializations/rust-programming,,programming,In-depth training program covering essential Rust Programming skills with a focus on real-world applications.
Rust Fundamentals,,Beginner,3.87,https://www.coursera.org/learn/rust-fundamentals,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Rust Fundamentals.
Rust Programming Masterclass from Beginner to Expert,,Advanced,4.9,https://www.coursera.org/specializations/packt-rust-programming-masterclass-from-beginner-to-expert,,programming,Structured learning path combining theoretical knowledge and practical skills in Rust Programming.
Programming with Rust,,Beginner,3.65,https://www.coursera.org/specializations/programming-with-rust,,programming,In-depth training program covering essential Programming Rust skills with a focus on real-world applications.
Introduction to Retrieval Augmented Generation (RAG),,Beginner,4.41,https://www.coursera.org/projects/introduction-to-rag,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Introduction Retrieval.
Learn Svelte,,Beginner,3.52,https://www.coursera.org/learn/learn-svelte,,programming,"Cutting-edge course exploring the latest trends and techniques in Learn Svelte, tailored for beginner learners."
Introduction to Rust Programming and Core Concepts,,Beginner,4.97,https://www.coursera.org/learn/packt-introduction-to-rust-programming-and-core-concepts-tb86d,,programming,In-depth training program covering essential Introduction Rust skills with a focus on real-world applications.
RESTful API with Rust: Build a Game Map Server,,Beginner,4.31,https://www.coursera.org/projects/restful-api-rust-game-map-server,,"programming, design","Comprehensive beginner course designed to build Tful Rust expertise through practical, hands-on learning."
LangChain Chat with Your Data,,Beginner,4.73,https://www.coursera.org/projects/langchain-chat-with-your-data-project,,programming,Structured learning path combining theoretical knowledge and practical skills in Lang Chain.
Advanced Rust Programming and AutoGPT Development,,Beginner,4.52,https://www.coursera.org/learn/packt-advanced-rust-programming-and-autogpt-development-rsjkw,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Advanced Rust.
Data Engineering with Rust,,Beginner,3.51,https://www.coursera.org/learn/data-engineering-rust,,"analytics, programming",Structured learning path combining theoretical knowledge and practical skills in Data Engineering.
Intermediate Rust Programming and Advanced Concepts,,Intermediate,4.97,https://www.coursera.org/learn/packt-intermediate-rust-programming-and-advanced-concepts-2ffa5,,programming,"Comprehensive intermediate course designed to build Intermediate Rust expertise through practical, hands-on learning."
Intermediate Rust Programming and Web Server Development,,Intermediate,4.81,https://www.coursera.org/learn/packt-intermediate-rust-programming-and-web-server-development-dnjjv,,programming,In-depth training program covering essential Intermediate Rust skills with a focus on real-world applications.
Malware Analysis and Introduction to Assembly Language,,Beginner,4.86,https://www.coursera.org/learn/malware-analysis-and-assembly,,programming,In-depth training program covering essential Malware Analysis skills with a focus on real-world applications.
Advanced Rust Programming and Real-World Applications,,Beginner,4.41,https://www.coursera.org/learn/packt-advanced-rust-programming-and-real-world-applications-wkroo,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Advanced Rust.
Version Control with Git,,Beginner,4.23,https://www.coursera.org/learn/version-control-with-git,,programming,"Comprehensive beginner course designed to build Version Control expertise through practical, hands-on learning."
Build Automation and Continuous Integration,,Beginner,4.15,https://www.coursera.org/learn/packt-build-automation-and-continuous-integration-tgusu,,"programming, design","Cutting-edge course exploring the latest trends and techniques in Build Automation, tailored for beginner learners."
C++ Lab Content,,Beginner,4.21,https://www.coursera.org/learn/c-lab-content,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Lab Content.
Introduction to Basic Game Development using Scratch,,Beginner,4.63,https://www.coursera.org/projects/introduction-to-basic-game-development-using-scratch,,programming,Structured learning path combining theoretical knowledge and practical skills in Introduction Basic.
Anthos on Bare Metal,,Beginner,3.95,https://www.coursera.org/learn/anthos-on-bare-metal,,programming,"Comprehensive beginner course designed to build Anthos Bare expertise through practical, hands-on learning."
Secure Full Stack MEAN Developer,,Intermediate,3.72,https://www.coursera.org/learn/secure-full-stack-mean-developer,,"web_development, programming",In-depth training program covering essential Secure Full skills with a focus on real-world applications.
Introduction and Rust Basics,,Beginner,4.7,https://www.coursera.org/learn/packt-introduction-and-rust-basics-mqdrt,,programming,In-depth training program covering essential Introduction Rust skills with a focus on real-world applications.
Fundamentals with Rust: Build a CLI Distance Calculator,,Beginner,4.48,https://www.coursera.org/projects/fundamentals-rust-build-cli-distance-calculator,,"programming, design","Comprehensive beginner course designed to build Fundamentals Rust expertise through practical, hands-on learning."
Web Development with Rust,,Beginner,4.95,https://www.coursera.org/learn/web-development-with-rust,,programming,"Cutting-edge course exploring the latest trends and techniques in Web Development, tailored for beginner learners."
Advanced Rust Programming,,Beginner,3.81,https://www.coursera.org/learn/advanced-rust-programming,,programming,"Cutting-edge course exploring the latest trends and techniques in Advanced Rust, tailored for beginner learners."
Code Yourself! An Introduction to Programming,,Beginner,4.58,https://www.coursera.org/learn/intro-programming,,programming,"Comprehensive beginner course designed to build Code Yourself expertise through practical, hands-on learning."
Rust Programming Essentials,,Beginner,4.22,https://www.coursera.org/learn/rust-programming-essentials,,programming,In-depth training program covering essential Rust Programming skills with a focus on real-world applications.
Ruby Scripting for DevOps,,Intermediate,4.74,https://www.coursera.org/projects/ruby-scripting-for-devops,,programming,"Comprehensive intermediate course designed to build Ruby Scripting expertise through practical, hands-on learning."
Redux in JavaScript and React,,Intermediate,4.42,https://www.coursera.org/learn/redux-in-javascript-and-react,,"web_development, programming, design",Structured learning path combining theoretical knowledge and practical skills in Redux Java.
Kali Linux,,Intermediate,4.17,https://www.coursera.org/learn/kali-linux,,design,"Cutting-edge course exploring the latest trends and techniques in Kali Linux, tailored for intermediate learners."
Programming with Scratch,,Advanced,3.8,https://www.coursera.org/learn/programming-with-scratch,,programming,In-depth training program covering essential Programming Scratch skills with a focus on real-world applications.
Hacking and Patching,,Beginner,4.09,https://www.coursera.org/learn/hacking-patching,,General,Professional-level curriculum that takes you from beginner to advanced proficiency in Hacking Patching.
Test Accessibility of Your Design with WAVE,,Intermediate,4.47,https://www.coursera.org/projects/test-accessibility-design-wave,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Test Accessibility.
Building Multimodal Search and RAG,,Beginner,4.7,https://www.coursera.org/projects/building-multimodal-search-and-rag,,"programming, design","Comprehensive beginner course designed to build Building Multimodal expertise through practical, hands-on learning."
Frontend for Java Full Stack Development,,Beginner,4.1,https://www.coursera.org/learn/frontend-development-for-java-full-stack,,"web_development, programming",Professional-level curriculum that takes you from beginner to advanced proficiency in Frontend Java.
Learn Markdown,,Intermediate,4.35,https://www.coursera.org/learn/learn-markdown,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Learn Markdown.
JavaScript Security,,Beginner,3.9,https://www.coursera.org/specializations/javascript-security,,programming,"Comprehensive beginner course designed to build Java Script expertise through practical, hands-on learning."
"Introduction to HTML, CSS, & JavaScript",,Beginner,4.99,https://www.coursera.org/learn/introduction-html-css-javascript,,"web_development, programming",In-depth training program covering essential Introduction Java skills with a focus on real-world applications.
Microsoft Full-Stack Developer,,Intermediate,4.66,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Microsoft Full.
"HTML, CSS, and Javascript for Web Developers",,Intermediate,4.01,https://www.coursera.org/specializations/html-css-javascript-for-web-developers,,"web_development, programming",In-depth training program covering essential Javascript Web skills with a focus on real-world applications.
Microsoft Front-End Developer,,Advanced,3.54,https://www.coursera.org/professional-certificates/microsoft-front-end-developer,,programming,In-depth training program covering essential Microsoft Front skills with a focus on real-world applications.
JavaScript Security Refreshers,,Beginner,4.62,https://www.coursera.org/learn/javascript-security-refreshers,,programming,Professional-level curriculum that takes you from beginner to advanced proficiency in Java Script.
JavaScript Security Part 3,,Intermediate,3.79,https://www.coursera.org/learn/javascript-security-part-3,,programming,Structured learning path combining theoretical knowledge and practical skills in Java Script.
JavaScript Security Part 1,,Advanced,4.14,https://www.coursera.org/learn/javascript-security-part-1,,programming,In-depth training program covering essential Java Script skills with a focus on real-world applications.
JavaScript Security Part 2,,Beginner,3.57,https://www.coursera.org/learn/javascript-security-part-2,,programming,"Cutting-edge course exploring the latest trends and techniques in Java Script, tailored for beginner learners."
JavaScript Programming Essentials,,Beginner,3.74,https://www.coursera.org/learn/javascript-programming-essentials,,programming,Structured learning path combining theoretical knowledge and practical skills in Java Script.
"Build a Portfolio Website with HTML, CSS, and JavaScript",,Beginner,4.43,https://www.coursera.org/projects/showcase-build-a-portfolio-website-html-css-javascript,,"web_development, programming, design","Comprehensive beginner course designed to build Build Portfolio expertise through practical, hands-on learning."
Learn About JSON with JavaScript,,Advanced,4.68,https://www.coursera.org/projects/json-javascript,,programming,In-depth training program covering essential Learn About skills with a focus on real-world applications.
Learn JavaScript,,Beginner,3.9,https://www.coursera.org/learn/learn-javascript,,programming,In-depth training program covering essential Learn Java skills with a focus on real-world applications.
Introduction to Front-End Development,,Beginner,4.5,https://www.coursera.org/learn/introduction-to-front-end-development,,programming,"Comprehensive beginner course designed to build Introduction Front expertise through practical, hands-on learning."
Programming with JavaScript,,Intermediate,4.08,https://www.coursera.org/learn/programming-with-javascript,,programming,Professional-level curriculum that takes you from intermediate to advanced proficiency in Programming Java.
React Basics,,Beginner,4.99,https://www.coursera.org/learn/react-basics,,"web_development, programming","Comprehensive beginner course designed to build React Basics expertise through practical, hands-on learning."
"Build a Website using an API with HTML, JavaScript, and JSON",,Beginner,3.84,https://www.coursera.org/projects/showcase-build-a-website-api-html-javascript-json,,"web_development, programming, design","Comprehensive beginner course designed to build Build Website expertise through practical, hands-on learning."
Introduction to HTML5,,Beginner,4.66,https://www.coursera.org/learn/html,,"web_development, programming",In-depth training program covering essential Introduction skills with a focus on real-world applications.
